id,data_inversa,dia_semana,horario,uf,br
327730,2020-12-13,domingo,20:00:00,RJ,40
327731,2020-12-13,domingo,19:45:00,CE,116
327732,2020-12-13,domingo,20:55:00,SC,101
327733,2020-12-13,domingo,18:19:00,RJ,40
327734,2020-12-13,domingo,21:10:00,PE,101
327735,2020-12-13,domingo,20:45:00,SC,101
327736,2020-12-13,domingo,17:00:00,SC,101
327737,2020-12-13,domingo,21:20:00,SC,101
327738,2020-12-13,domingo,19:00:00,PB,230
327739,2020-12-13,domingo,21:15:00,MG,365
327742,2020-12-13,domingo,20:50:00,RS,285
327743,2020-12-13,domingo,04:05:00,RO,364
327744,2020-12-13,domingo,21:05:00,PI,230
327745,2020-12-13,domingo,21:05:00,MG,40
327749,2020-12-13,domingo,18:40:00,MG,251
327751,2020-12-13,domingo,22:05:00,PR,277
327752,2020-12-13,domingo,21:00:00,PR,376
327754,2020-12-13,domingo,21:40:00,SP,116
327755,2020-12-13,domingo,21:00:00,CE,222
327756,2020-12-13,domingo,21:05:00,AP,156
327757,2020-12-13,domingo,22:30:00,PE,101
327761,2020-12-13,domingo,20:50:00,MT,364
327763,2020-12-13,domingo,21:30:00,CE,222
327764,2020-12-13,domingo,18:55:00,GO,60
327765,2020-12-13,domingo,19:25:00,RR,401
327766,2020-12-13,domingo,22:20:00,SC,282
327768,2020-12-13,domingo,22:30:00,CE,222
327770,2020-12-13,domingo,21:40:00,PR,373
327771,2020-12-13,domingo,23:05:00,SE,101
327772,2020-12-13,domingo,22:40:00,RJ,101
327774,2020-12-13,domingo,22:00:00,ES,101
327775,2020-12-13,domingo,19:00:00,RJ,101
327776,2020-12-13,domingo,21:30:00,SC,470
327778,2020-12-13,domingo,20:15:00,MG,365
327780,2020-12-13,domingo,22:50:00,SP,116
327781,2020-12-13,domingo,21:00:00,PE,428
327782,2020-12-13,domingo,16:50:00,MG,40
327783,2020-12-13,domingo,19:30:00,SC,282
327784,2020-12-13,domingo,21:00:00,RS,116
327785,2020-12-13,domingo,23:20:00,MG,381
327786,2020-12-13,domingo,22:30:00,RJ,465
327787,2020-12-13,domingo,22:00:00,PA,316
327788,2020-12-13,domingo,23:30:00,SC,282
327789,2020-12-13,domingo,22:40:00,RJ,101
327791,2020-12-14,segunda-feira,01:00:00,PR,376
327792,2020-12-13,domingo,19:15:00,SC,101
327793,2020-12-14,segunda-feira,00:45:00,RS,290
327794,2020-12-13,domingo,18:20:00,BA,101
327795,2020-12-14,segunda-feira,00:30:00,GO,20
327797,2020-12-14,segunda-feira,01:00:00,PR,376
327799,2020-12-13,domingo,20:15:00,RO,319
327800,2020-12-14,segunda-feira,02:50:00,PE,232
327801,2020-12-13,domingo,23:45:00,SC,101
